Primary Filter Tag,Secondary Filter Tag,Organization,Hours of Operation,Address,Town,Zip Code,Phone Number,Website,Coordinates,Additional Details,Delivery Method
Food & Nutrition Services,Food Pantries,Saint John of God R.C. Church - Food Distribution Center,"Monday 6:00pm-7:00pm, Tuesday 10:00am-12:00pm, Wednesday 10:00am-2:00pm, Thursday 6:00pm-7:00pm",84 Carleton Ave.,Central Islip,11722,631-234-6535,https://stjohnofgodparish.org/outreach/food-pantry,"40.787015041141736, -73.20068424602702",,In-Person
Food & Nutrition Services,Food Pantries,Christ the King Roman Catholic Churc,Call First,2 Indian Head Rd,Commack,11725,(631) 864-1623,https://www.ctkrcc.org/outreach,"40.849571076411664, -73.27980051547122",,In-Person
Food & Nutrition Services,Food Pantries,Christ the King Roman Catholic Church,Call First,2 Indian Head Rd.,Commack,11725,631-864-1623,https://www.ctkrcc.org/home,"40.849834833125875, -73.27984343068469",,In-Person
Food & Nutrition Services,Food Pantries,Our Lady of the Asumption- Food Distribution Center,Tuesday and Thursday 10:15am -12:00pm and 1:15pm -3:00pm,115 Leonardo Davinci St,Copiague,11726,(631) 842-5264,https://olacopiague.org/outreach/,"40.68274601626712, -73.40401172894639",,In-Person
Food & Nutrition Services,Food Pantries,Martha's Cupboard Food Bank,Monday 12:00- 2:00pm and Sundays 11:00am- 1:00pm,134 Middle Country Rd,Coram,11727,215-946-4040,https://saintfrancescabrini.net/socialministries/marys-cupboard-food-bank/,"40.8724335255714, -72.98699995780744",,In-Person
Food & Nutrition Services,Food Pantries,Faith Baptist Church,Call First,10 Teller Ave.,Coram,11727,631-732-1133,https://faithbaptistchurch2.org/ci/mf/pages/view/church2899/1b,"40.86030088627502, -72.97915645767115",,In-Person
Food & Nutrition Services,Food Pantries,Gordan Heights SDA Church,Call First,21 Teller Ave.,Coram,11727,631-698-0912 ,https://gordonheightsny.adventistchurch.org/ministries/community-service-,"40.86144960622182, -72.98086843145595",You can also email the outreach team at communityservice.ghsda@gmail.com,In-Person
Food & Nutrition Services,Food Pantries,St. Francis Cabrini R.C. Church,Call First,134 Middle Country Rd.,Coram,11727,631-736-6835,https://sfccoram.org/programs-ministries/,"40.872478145992346, -72.98702141534234",,In-Person
Food & Nutrition Services,Food Pantries,East Hampton Food Pantry,Call First,219-50 Accabonac Rd.,East Hampton,11937,631-324-2300,https://easthamptonfoodpantry.org/,"40.978689699322274, -72.1709056",,In-Person
Food & Nutrition Services,Food Pantries,Church of St. Mary ,Call First,20 Harrison Ave.,East Islip,11730,-581-4266  Ext 128,https://www.stmaryei.org/outreach/,"40.730290980940964, -73.19598285397295",,In-Person
Food & Nutrition Services,Food Pantries,Trinity Regional School,Friday 10:00am-2:00pm and Sunday 10:30am-12:30pm,1025 Fifth Ave,East Northport,11731,516-449-2717,https://saintanthonyofpadua.org/social-outreach/st-vincent-de-paul,"40.87392718487303, -73.3209934847642","You may receive a pre-made Emergency Food Bag when the pantry is closed for shopping with the help of Parish Outreach (if a Vincentian is not present) within their business hours, M-F 10:00am-2:00pm.",In-Person
Food & Nutrition Services,Food Pantries,"St. Anthony of Padua
",Friday 10:00am-2:00pm and Sunday 10:30am-12:30pm,20 Cheshire Place,East Northport,11731,516-449-2717 ,https://saintanthonyofpadua.org/social-outreach/st-vincent-de-paul,"40.874580213898916, -73.32167811534235","Located at the Parish Outreach Center on 5th Avenue at the east end of Trinity Regional School, lower level, yellow room.",In-Person
Food & Nutrition Services,Food Pantries ,Christ Lutheran Church ,Monday -Thursday 10:00am-12:00pm,189 Burr Road,East Northport,11731,(631) 499-4655,https://www.welcometoclc.org/outreach,"40.8491187, -73.3150998","The pantry is available to anyone in the Northport, East Northport and Centerport area needing food.",In-Person
Food & Nutrition Services,Food Pantries,St. Joseph the Worker Food Pantry,Monday -Thursday 11:00am-12:00pm,510 Narragansett Ave,East Patchogue,11772,631-286-6356,https://stjosephtheworker.weconnect.com/food-pantry-outreach,"40.7741389102698, -72.96099951550279",Proof of residency in East Patchougue area required. Food pick up is limited to once a month. Please bring your own bag.,In-Person
Food & Nutrition Services,Food Pantries,St. Rosalie R.C. Church,Tuesday -Thursday 10:00am-2:00pm,31 East Montauk Highway,Hampton Bays,11946,631-728-9249,https://www.saintrosalie.com/parish-life/psm,"40.879130020214, -72.52245716550047","Residency required in the Hampton Bays,  East Quogue, and south of the Big Duck in Flanders areas. ",In-Person
Food & Nutrition Services,Food Pantries,CALVARY CHAPEL ISLAND OF GRACE,Saturday  9:30am-10:30am,1680 Railroad Ave,Holbrook,11741,631-805-0884,https://cciog.org/food-pantry/,"40.80987902880609, -73.0818114289853",,In-Person
Food & Nutrition Services,Food Pantries,Good Shepherd Catholic Church,Call First,1370 Grundy Ave,Holbrook,11741,631 585-4544 ,https://www.goodshepherdrcchurch.org/social-ministries-ndash-outreach.html,"40.80037643691816, -73.07895581360027",Food pantry by appointment only,In-Person
Food & Nutrition Services,Food Pantries,Church of St. Patrick,Monday -Thursday 10:00am-2:00pm,400 Main St.,Huntington,11743,(631) 385-3311 Ext 216,https://stpathuntington.org/outreach,"40.86990338599466, -73.43249587301352",,In-Person
Food & Nutrition Services,Food Pantries,St.Hugh of Lincoln Parish Food Pantry,Monday -Thursday 10:00am-12:00pm and 1:00pm-2:00pm,21 East Ninth St,Huntington Station,11746,631-427-0638 ,https://www.catholiccharitiesusa.org/member/catholic-charities-long-island/,"40.84741257094882, -73.4110933424419","To receive food, please go to the Pantry Window",In-Person
Food & Nutrition Services,Food Pantries,St. Hugh of Lincoln,Monday - Thursday 10:00am-12:00pm and 1:00pm - 2:00pm,21 East Ninth St.,Huntington Station,11746,631-427-0638 ,https://sthugh.org/outreach/pantry,"40.847514019268914, -73.41117917301355",,In-Person
Food & Nutrition Services,Food Pantries,Trinity Lutheran Church,Wednesday and Friday  2:00 pm - 4:00 pm,111 Nassau Avenue ,Islip,11751,631-277-1555,https://www.trinityislip.org/food-pantry.html,"40.73409516270733, -73.21076514232881",,In-Person
Food & Nutrition Services,Food Pantries,Islip United Methodist Church,Tuesday and Thursday 10:00am-12:00pm,350 Main St.,Islip,11751,631-581-7663,https://www.islipumc.org/,"40.72840320014343, -73.21631289999999",Entrance to the Food Pantry is through the side door located on the East side of the building.,In-Person
Food & Nutrition Services,Food Pantries,St. Joseph's Church Of Kings Park,Monday and Thursday 1:00pm- 4:00pm,59 Church St.,Kings Park,11754,631-269-6635 Ext 253,https://www.stjoekp.com/serve-disciple/outreach-ministries/58-st-vincent-de-paul-society,"40.887308518942625, -73.25341344232884",,In-Person
Food & Nutrition Services,Food Pantries,St. Elizabeth Ann Seton Church,Tuesday and Thursday 1:30pm-4:00pm by appointment only,800 Portion Rd,Lake Ronkonkoma,11779,631-737-4416,https://www.steas.org/outreach,"40.83264035955846, -73.0793012290576",Call first to book an appointment ,In-Person
Food & Nutrition Services,Food Pantries,St. Mary's Episopal Church,Friday 10:00am-12:00pm,315 Lake Shore Rd.,Lake Ronkonkoma,11779,631-588-1888,https://www.stmaryonthelake.org/ministries---outreach.html,"40.83232442078551, -73.11913088465764",,In-Person
Food & Nutrition Services,Food Pantries,Grace United Methodist Church,Call First,515 South Wellwood Ave.,Lindenhurst,11757,631-226-8690,http://www.graceumclindy.org/food-pantry.html,"40.67956848297772, -73.36595598835589",The Purpose of the pantry is to provide food for those in need under emergency situations and is not intended to be a weekly supplement to existing food programs being utilized. Visits to the pantry should therefore not exceed one per month under most situations.,In-Person
Food & Nutrition Services,Food Pantries,Saint John’s Evangelical Lutheran Church,Tuesday and Thursday 10:00am-12:00pm,36 East John St.,Lindenhurst,11757,631-226-1274,https://saintjohnslindy.com/ministries/,"40.690032821866104, -73.37388805767115",,In-Person
Food & Nutrition Services,Food Pantries,Sait Peter and Paul- Food Distribution Center,Call First,781 Wading River Rd,Manorville,11949,631-369-7142,https://www.saintspeterandpaul.org/home,"40.87196003970741, -72.82364181552316",,In-Person
Food & Nutrition Services,Food Pantries,St. Jude Parish Outreach,Monday-Thursday 9:00am-1:00pm,89 Overlook Dr,Mastic Beach,11951,631-281-5634,https://stjudemb.org/parish-outreach/,"40.765879247326396, -72.85062808480221",,In-Person
Food & Nutrition Services,Food Pantries,Mattituck Presbyterian Church- Loaves and Fishes Food Pantry,Wednesday 4:30pm - 6:30pm and Friday 10:00 am - 12:00pm,12605 Main Rd,Mattituck,11952,631-298-4145,https://mattpres.com/our-mission/loaves-fishes-food-pantry,"40.99105603949445, -72.53455577301352",,In-Person
Food & Nutrition Services,Food Pantries,St. Elizabeth Church ,Call First,175 Wolf Hill Rd,Melville,11747,631-271-4455 – Ext 309,https://stelizabeth.org/parish-outreach-need/,"40.81203716548652, -73.39578004245209",,In-Person
Food & Nutrition Services,Food Pantries,Island Harvest,Call First,126 Spagnoli Rd,Melville,11747,516-805-1642 ,https://www.islandharvest.org/food-distributions/,"40.762530048093566, -73.43349253690985","Check the website calendar to find the different food distribution centers. You may also text your zip code to 631-450-3775 to get a list of nearby pantries. Before traveling to any food pantry, please call the site ahead of time to confirm the hours and location.",In-Person
Food & Nutrition Services,Food Pantries,First Presbyterian Church Of Northport,Monday -Thursday 10:00am-12:00pm,330 Main St.,Northport,11768,631-261-4357,https://fpcnorthport.org/outreach/,"40.900836002638464, -73.34299963068469",,In-Person
Food & Nutrition Services,Food Pantries,RiseWell,Call First,456 Waverly Ave.,Patchogue,11772,631-447-6460,https://www.risewell.org/services/food-pantry/,"40.78078083407109, -73.0350960693153","Every Wednesday, the Patchogue Community Center offers the evening meal program, along with peer support, clothing assistance, a free hot meal, on-site food pantry, employment group, and advocacy provided regularly.",In-Person
Food & Nutrition Services,Food Pantries,"Patchogue-Medford Youth And Community Services, Inc.","Tuesday & Thursday 9:00am - 5:00pm, Friday 9:00am-2:00pm",390 Bay Ave.,Patchogue,11772,631-758-4100,https://www.pmycs.org/food-pantry-clothes-closet,"40.75231175930811, -73.00427842698649",Proof of residency in the Patchogue are required ,In-Person
Food & Nutrition Services,Food Pantries,United Methodist Church Of Patchogue,Tuesday 10:00am - 12:00pm,10 Church St.,Patchogue,11772,631-475-0381,http://www.patchogueumc.org/missions.htm,"40.764375755372996, -73.01498348465766",,In-Person
Food & Nutrition Services,Food Pantries,Infant Jesus Roman Catholic Church ,Tuesday 10:00am - 12:00pm,110 Hawkins St,Port Jefferson,11777,631-331-6145,https://www.infantjesus.org/social-ministries-items/105-food-pantry,"40.94118316192506, -73.06246548661943",,In-Person
Food & Nutrition Services,Food Pantries,Welcome Friends Soup Kitchen,"Monday & Wednesday 5:00 pm-6:00 pm, Tuesday & Thursday 1:00pm -1:30pm, Friday 3:30pm-5:00pm",P.O. Box 88,Port Jefferson,11777,631-403-6707,https://welcomefriendssoupkitchen.com/,"40.94107900935156, -73.06413908667162",Food distribution locations rotate. Please call to confirm location and times. ,In-Person
Food & Nutrition Services,Food Pantries,St. Gerard Majella Roman Catholic Church ,"Tuesday 11:30am-3:00pm, Wednesday 12:30pm -3:00pm, Thursday 11:30am-1:30pm",300 Terryville Rd,Port Jefferson Station,11776,631-473-2900,https://www.stgmajella.org/parish-life/outreach-food-pantry,"40.91502479810454, -73.0527877001474","Hot Meals- Thursday 4pm-5:30pm, Free Clothing-Thursdays 4pm-5pm",In-Person
Food & Nutrition Services,Food Pantries,St. John The Evangelist ,Call First,546 St Johns Place,Riverhead,11901,631-369-4601  ,https://saintjohnriverhead.org/ministries-groups/parish-social-ministry,"40.921760909114774, -72.66305358667131",,In-Person
Food & Nutrition Services,Food Pantries,Trinity Evangelical Lutheran Church,Tuesday 10:00am - 12:00pm,716 Route 25A,Rocky Point,11778,631-744-9355,https://www.thefishchurch.com/,"40.94745637792439, -72.91667156931531",,In-Person
Food & Nutrition Services,Food Pantries,St. Josepch Roman Catholic Church,Call First,25 Church Street,Ronkonkoma,11779,631-981-6888,https://www.stjosephronkonkoma.org/outreach/,"40.81835183603317, -73.1176417509258","The geographic boundaries of our parish include parts of Islip, Smithtown, and Brookhaven.",In-Person
Food & Nutrition Services,Food Pantries,St. Joseph's Roman Catholic Church,Call First,45 Church St.,Ronkonkoma,11779,631-981-6888,https://www.stjosephronkonkoma.org/outreach/,"40.81792358248746, -73.11628821534234",Clients will be asked to complete a registration form and to provide proof of residence and income.,In-Person
Food & Nutrition Services,Food Pantries,Queen of The Most Holy Rosary Church,Call First,196 Centennial Ave.,Roosevelt,11575,516-378-1315 ,https://www.qtmhr.com/outreach/social-ministry,"40.67703942010419, -73.59538116136937",,In-Person
Food & Nutrition Services,Food Pantries,Sag Harbor Community Food Pantry,Tuesday 10:00am - 2:00pm,44 Union St.,Sag Harbor,11963,631-725-0437,https://www.sagharborfoodpantry.org/,"40.99763480114102, -72.29373265767119",,In-Person
Food & Nutrition Services,Food Pantries,St. Andrew R.C. Church,Call First,122 Division St.,Sag Harbor,11963,631-725-0123,https://www.standrewchurchsagharborny.org/about/ministries/,"40.998710643804834, -72.29332495767115",Number listed is for the Community Social Ministry Coordinator ,In-Person
Food & Nutrition Services,Food Pantries,Church of St. Lawrence the Martyr,Call First,27 Handsome Ave.,Sayville,11782,631-589-0042,https://www.stlawrencesayville.org/outreach-support-groups/parish-outreach/food-pantry,"40.73273830932378, -73.08752057976174",Services are available to those who live in Sayville and West Sayville when requesting ongoing assistance.  They will refer clients to neighboring food pantries if this is not the area in which you reside.,In-Person
Food & Nutrition Services,Food Pantries,Greater Sayville Food Pantry,"Tuesday, Wednesday, and Friday 9:30am - 12:30pm",47 Gillette Ave.,Sayville,11782,631-244-8375,https://greatersayvillechamber.com/the-greater-sayville-food-pantry/,"40.73505625930157, -73.08132888465767",,In-Person
Food & Nutrition Services,Food Pantries,St. Boniface Martyr Church,Saturday 10:00am - 12:00pm,145 Glen Ave.,Sea Cliff,11579,516-676-0676 x125,https://www.saintboniface.org/2021/09/01/ministries-of-service-and-social-care/,"40.8483737500365, -73.6417031345438",,In-Person
Food & Nutrition Services,Food Pantries,Hope Lutheran Church,Call First,46 Dare Rd.,Selden,11784,631-732-2511,https://hopeluth.com/,"40.8700786064267, -73.03695087301351",,In-Person
Food & Nutrition Services,Food Pantries,Our Daily Bread Soup Kitchen ,Sunday 2:00pm-3:00pm,429 Route 25A,Setauket,11733,(631) 941-4141 x313,https://www.stjamessetauket.org/parish-ministries,"40.93594298630431, -73.11140210385118",Located in the St.James Church basement,In-Person
Food & Nutrition Services,Food Pantries,St. Mark Roman Catholic Church,Monday and Wednesday 10:00am-12:00pm and 1:00pm-3:00pm,105 Randall Rd.,Shoreham,11786,"631-744-2800, ext. 106",https://stmarkshoreham.org/social-ministries/parish-outreach,"40.93558252192837, -72.89449056152306",The Outreach Ministry also coordinates the Thanksgiving Food Drive and the Giving Tree Christmas Gift drive.,In-Person
Food & Nutrition Services,Food Pantries,St. Anslem's Episopal Church,Tuesday 6:00pm-7:30pm and Saturday 10:00am-12:00pm,4 Woodville Rd.,Shoreham,11786,631-744-7730,https://www.stanselmsofshoreham.org/serve.html,"40.94894857900633, -72.9067258269865",,In-Person
Food & Nutrition Services,Food Pantries,St. Patrick ,Call First,280 E. Main St.,Smithtown,11787,631-265-2668 ,https://stpatricksmithtown.org/outreach/,"40.85389129191069, -73.17889028851218",,In-Person
Food & Nutrition Services,Food Pantries,Smithtown Emergency Food Pantry,"Tuesday, Thursday, and  Saturday 10:00am-12:00pm",90 Edgewater Ave,Smithtown,11787,631-265-7676,https://www.smithtownemergencyfoodpantry.org/home,"40.85423741730403, -73.20515494232883",,In-Person
Food & Nutrition Services,Food Pantries,Smithtown Gospel Tabernacle,Call First,1 Higbie Dr.,Smithtown,11787,631-347-7968,https://sgtchurch.org/needs/,"40.85003126961218, -73.20973798835584",,In-Person
Food & Nutrition Services,Food Pantries,St. Louis de Montfort,Call First,75 New York Ave.,Sound Beach,11789,631-209-0325,https://www.stlouisdm.org/involved/outreach,"40.95523851112513, -72.97513233268599",Residency and ID required. An appointment will be set up and intake paperwork must be completed.,In-Person
Food & Nutrition Services,Food Pantries,Meals on Wheels,Call First,Use website to look for a location in your area,Use website to look for a location in your area,Use website to look for a location in your area,888-998-6325,https://www.mealsonwheelsamerica.org/,,,Mobile
Food & Nutrition Services,Food Pantries,St. John the Baptist Roman Catholic Church,Call First,1488 North Country Rd.,Wading River,11792,(631) 929-4339 x 122,https://sjbwr.org/parish-outreach/,"40.9525175951556, -72.84605530385024",,In-Person
Food & Nutrition Services,Food Pantries,Living Water Church,Thursday 11:30am-12:00pm,69 Industrial Rd.,Wainscott,11975,(631) 722-4969 x403,https://livingwater.online/food-pantry,"40.95591252183777, -72.25248716931536",,In-Person
Food & Nutrition Services,Food Pantries,Our Lady of Lourdes,Call First,455 Hunter Ave.,West Islip,11795,631.661.9262,https://ollchurch.org/parish-outreach/,"40.72720298299543, -73.3024266038632",,In-Person
Food & Nutrition Services,Food Pantries,"Gerald J. Ryan Outreach Center, Inc.",Monday -Friday 9:00am-12:00pm,1434 Straight Path,Wyandanch,11798,631-643-7591,https://geraldryanoutreach.org/services/food-pantry/,"40.7462420722416, -73.36500154232881",Proof of residency in Wyandanch area required ,In-Person
Food & Nutrition Services,WIC Service,Catholic Charities,M-F 9:00 AM - 5:00 PM,143 Schleigel Blvd,Amityville,11701,631-842-4123,https://www.catholiccharities.cc/wicprogram,"40.70579559584771, -73.40551574270798",,In-Person
Food & Nutrition Services,WIC Service,Catholic Charities,"M,W,F 8:30 AM- 4:30 AM, Tuesday 11:00 AM - 7:00 PM, Thursday 7:00 AM - 3:00 PM",333 N. Main Street,Freeport,11520,(516) 377-0157,https://www.catholiccharities.cc/wicprogram,"40.667751, -73.587830",,In-Person
Food & Nutrition Services,WIC Service,Stony Brook WIC  ,"M, T, Th 9:00 AM - 5:00 PM; W 10:00 AM - 6:00 PM; F 8:00 AM - 4:00 PM",1444 5th Ave,Bay Shore,11706,631-969-5796,https://renaissance.stonybrookmedicine.edu/family_population_preventive_medicine/divisions/nutrition/wic,"40.74585077190773, -73.26488035778243",,In-Person
Food & Nutrition Services,WIC Service,Stony Brook WIC  ,"M, T, Th 9:00 AM - 5:00 PM; W 10:00 AM - 6:00 PM; F 8:00 AM - 4:00 PM","4 Smith Haven Mall, Suite 109",Lake Grove,11733,631-444-5239,https://renaissance.stonybrookmedicine.edu/family_population_preventive_medicine/divisions/nutrition/wic,"40.866550, -73.130490",,In-Person
Food & Nutrition Services,WIC Service,Stony Brook WIC  ,"M, T, Th 9:00 AM - 5:00 PM; W 10:00 AM - 6:00 PM",465 Blue Point Rd Suite B,Farmingville,11738,631-346-3697,https://renaissance.stonybrookmedicine.edu/family_population_preventive_medicine/divisions/nutrition/wic,"40.83139228008334, -73.03429087127239",,In-Person
Food & Nutrition Services,WIC Service,Stony Brook WIC ,"M, T, Th 9:00 AM - 5:00 PM; W 10:00 AM - 6:00 PM",60 Adams Ave Suite 105,Hauppauge,11788,631-617-6717,https://renaissance.stonybrookmedicine.edu/family_population_preventive_medicine/divisions/nutrition/wic,"40.820390314675606, -73.25754908255712",,In-Person
Health & Medical Services,Health Clinics,Sun River Health,"M, W, Th 8:30 AM - 8:00 PM; T, F 8:30 AM - 5:00 PM; Sat 8:30 AM - 4:00 PM",300 Center Drive South,Riverhead,11901,631-574-2580,https://www.sunriver.org/,"40.913076610608336, -72.66909164231753","Suffolk County Operated Health Centers are now operated by Hudson River Health Care (HRH)
Accepts: Low Income, Uninsured, Underinsured, Insurance, Medicare, and Medicaid Fees: Sliding scale",In-Person
Health & Medical Services,Health Clinics,Sun River Health,"M, W, Th 8:30 AM - 8:00 PM; T, F 8:30 AM - 5:00 PM; Sun 8:30 AM - 4:00 PM",550 Montauk Highway,Shirley,11967,631-490-3040,https://www.sunriver.org/,"40.80017503260255, -72.87891885395821","Suffolk County Operated Health Centers are now operated by Hudson River Health Care (HRH)
Accepts: Low Income, Uninsured, Underinsured, Insurance, Medicare, and Medicaid Fees: Sliding scale",In-Person
Health & Medical Services,Health Clinics,Sun River-Elsie Owens Center,"M, F 8:00 AM - 5:30 PM; T 8:00 AM - 6:30 PM; W 8:00 AM - 5:00 PM; Th 8:00AM - 8:00 PM; Sat 8:00 AM - 4:00 PM",82 Middle Country Road,Coram,11727,631-320-2220,https://www.sunriver.org/,"40.87248875368726, -72.98403374417029","Suffolk County Operated Health Centers are now operated by Hudson River Health Care (HRH)
Accepts: Low Income, Uninsured, Underinsured, Insurance, Medicare, and Medicaid Fees: Sliding scale",In-Person
Health & Medical Services,Health Clinics,Sun River Health - MLK Health Center,M-F 8:00 AM - 5:00 PM,1556 Straight Path,Wyandanch,11798,516-214-8020,https://www.sunriver.org/,"40.75358311934762, -73.36130427300643","Suffolk County Operated Health Centers are now operated by Hudson River Health Care (HRH)
Accepts: Low Income, Uninsured, Underinsured, Insurance, Medicare, and Medicaid Fees: Sliding scale",In-Person
Health & Medical Services,Health Clinics,Sun River Health - Maxine S. Postal Center,M-Th 8:00 AM - 5:30 PM; F 8:00 AM - 5:00 PM,1080 Sunrise Highway,Amityville,11701,631-716-9026,https://www.sunriver.org/,"40.68967994132601, -73.4108134441703","Suffolk County Operated Health Centers are now operated by Hudson River Health Care (HRH)
Accepts: Low Income, Uninsured, Underinsured, Insurance, Medicare, and Medicaid Fees: Sliding scale",In-Person
Health & Medical Services,Health Clinics,Harmony Healthcare Roosevelt ,"M-Th 8-8, Fri 8-6, Sat 8am-12pm (medical) and 9am-1pm(dental)",380 Nassau Rd,Roosevelt,11575,516-571-8600,https://www.harmonyhealthcareli.org/,"40.6817741394043, -73.59083557",,In-Person
Health & Medical Services,Health Clinics,Harmony Healthcare Freeport,"M-Th 8-8, Fri 8-6, Sat 9-1",101 South Bergen Place,Freeport,11520,516-623-3600,https://www.harmonyhealthcareli.org/health-care-locations/#freeport,"40.6539497375488, -73.58743286",,In-Person
Health & Medical Services,Health Clinics,Harmony Healthcare- Elmont,"M-Th 8-8, Fri 8-6, Sat 9AM-1PM",161 Hempstead Turnpike,Elmont,11003,516-571-8200,https://www.harmonyhealthcareli.org/health-care-locations/#elmont,"40.7086715698242, -73.72098541",,In-Person
Health & Medical Services,Health Clinics,Harmony Healthcare- Oceanside,"M-W 8-8, Thu/Fri 8-4",3227 Long Beach Road,Oceanside,11572,516--678-090,https://www.harmonyhealthcareli.org/health-care-locations/#oceanside,"40.6327629089355, -73.64037323",,In-Person
Health & Medical Services,Health Clinics,Harmony Healthcare- Westbury,"M-Th 8-8, Fri 8-6, Sat 9-1",682 Union Avenue,Westbury,11590,516-571-9500,https://www.harmonyhealthcareli.org/health-care-locations/#westbury,"40.7610549926758, -73.57524109",,In-Person
Health & Medical Services,Medical Insurance,NYS Insurance,,,,,855-355-5777,https://www.nystateofhealth.ny.gov,,,Hotline
Health & Medical Services,Medical Insurance,Public Health Solutions,,,,,646-632-5986,https://www.healthsolutions.org/community-work/health-insurance/enrollment-services/,,Navigator Agency,Hotline
Health & Medical Services,Medical Insurance,Nassau Country Department of Social Services,M-F 8:00 AM - 4:00 PM,60 Charles Lindbergh Boulevard,Uniondale,11553,516-227-8000,https://www.nassaucountyny.gov/1923/Medicaid,"40.70038, -73.59291",,In-Person
Health & Medical Services,Medical Insurance,Smithtown Department of Social Services Center,M-F 8:00 AM - 3:00 PM,200 Wireless Boulevard,Hauppauge,11788,631-853-8714,https://www.suffolkcountyny.gov/Departments/Social-Services/Medicaid,"40.814267638818464, -73.26661224231754",Medicaid Office Number: 631-853-8408,In-Person
Health & Medical Services,Medical Insurance,Riverhead Department of Social Services Center,M-F 8:00 AM - 3:00 PM,893 E Main Street,Riverhead,11901,631-852-3500,https://www.suffolkcountyny.gov/Departments/Social-Services/Medicaid,"40.92331985738701, -72.64950340184251",Medicaid Office Number: 631-852-3570,In-Person
Health & Medical Services,Mental Health Services,Association for Mental Health and Wellness Helpline,Call First,,,,631-226-3900,https://mhaw.org/,,,Hotline
Health & Medical Services,Mental Health Services,Suffolk County Division of Community Mental Hygiene Services,Call First,,,,631-853-8500,https://www.suffolkcountyny.gov/Departments/Health-Services/Mental-Hygiene,,,Hotline
Health & Medical Services,Mental Health Services,DASH 24/7 Hotline,24/7,,,,631-952-3333,"https://www.fsl-li.org/help-services/diagnosis-assessment-and-stabilization-hub-dash/#:~:text=Help%20Services-,Diagnostic%2C%20Assessment%2C%20and%20Stabilization%20Hub%20(DASH)%3A%20Hotline%20631,and%2For%20other%20life%20stressors.",,,Hotline
Health & Medical Services,Mental Health Services,Long Island Crisis Center,24/7,,,,(516) 679-1111,https://www.longislandcrisiscenter.org/contact-us,,,Hotline
Health & Medical Services,Mental Health Services,The National Suicide Prevention Hotline,24/7,,,,988,https://988lifeline.org/?utm_source=google&utm_medium=web&utm_campaign=onebox,,,Hotline
Health & Medical Services,Mental Health Services,Response Crisis Center Intervention Hotline,24/7,,,,631-751-7500,"https://www.responsecrisiscenter.org/#:~:text=Conexi%C3%B3n%20can%20be%20reached%20at,%2C%20from%205%2D10%20PM.",,,Hotline
Health & Medical Services,Mental Health Services,Stony Brook Comprehensive Psychiatric Emergency Program (CPEP),24/7,,,,631-444-6050,https://www.stonybrookmedicine.edu/patientcare/psychiatry/cpep,,,Hotline
Health & Medical Services,Mental Health Services,Stony Brook Mind-Body Clinical Research Center,Call First,"Stony Brook University - West Campus
Putnam Hall",Stony Brook,11794,(631) 632-8657,https://neuro.stonybrookmedicine.edu/centers/mind-body,"40.92565,-73.14094",,In-Person
Health & Medical Services,Mental Health Services,Bee Mindful Therapy,Call First,,,,"631-379-5639
",https://www.bee-mindfultherapy.com/,,Provides evidence-based therapy and counseling services that help clients overcome their challenges and achieve their goals.,Virtual
Health & Medical Services,Mental Health Services,Calm Seas,Call First,,,,"888-975-2256
",https://calmseapsyc.com/,,"They provide Individual Therapy, Group Therapy, and Forensic Evaluations. They also specialize in PTSD, Military, Law Enforcement, Power and Control concerns related to training. Virtual appointments are provided via Telehealth services.",Virtual
Health & Medical Services,Mental Health Services,Centered Living Psychological Services,Call First,,,,(201) 381-1612,https://www.centeredlivingps.com/services,,Standard fee range for individual and couples/family therapy sessions prior to insurance reimbursement: $300-400 (depending on type of services and length of session).,Virtual
Health & Medical Services,Mental Health Services,Charlie Health (age 34 and younger),Call First,,,,"866-953-2537
",https://www.charliehealth.com/intensive-outpatient-iop,,"Intensive outpatient programming (IOP) is a level of behavioral healthcare that is typically more structured and intensive than traditional weekly therapy. It is designed for individuals who need more treatment and support than can be provided through traditional outpatient services, but who do not require the level of care provided through residential or inpatient treatment.",Virtual
Health & Medical Services,Mental Health Services,The Holistic Center for Soulful Living,Call First,811 W. Jericho Turnpike Suite 203E,Smithtown,11787,"631-864-3553
",https://soulfullivingcenter.com/services/,"40.8481203,-73.2337028","Holistic Psychotherapy recognizes that you have all the answers and its function is to help you access those answers with competence, responsible action, and a felt sensation of healthy control. A psychiatric evaluation is also avilable. Please view the list of services and the practitioners available. 

",Hybrid
Health & Medical Services,Mental Health Services,LI Cognitive Wellness - Stony Brook Office,Call First,25 Main Street,Stony Brook,11790,"631-675-6992
",https://www.licognitivewellness.com/,"40.9130046,-73.143171",The Long Island Center for Cognitive Wellness is comprised of clinicians who specialize in Cognitive Behavioral Therapy (CBT) and Dialectical Behavior Therapy (DBT). ,In-Person
Health & Medical Services,Mental Health Services,MDLive,Call First,,,,"800-400-MDLI
",https://www.mdlive.com/,,Virtual talk therapy and psychiatry. NOT A CRISIS HOTLINE OR EMERGENCY SERVICE,Virtual
Health & Medical Services,Mental Health Services,Mind Body Wellness Long Island,Call First,2046 North Country Road,Wading River,11792,631 257-7968,https://www.mbwellnessli.com/,"40.9550427,-72.8492652","They provide evidence-based approaches and sustainable strategies to best support the overall wellness, health, and well-being of clients.",In-Person
